Заголовок;Код региона;Код города;Маска номера;Количество цифр;Регион
Заречный;841;2;xx-xx-xx;6;Код Пензенской области
Заречное;841;2;xx-xx-xx;6;Код Пензенской области
Запрудня;496;20;x-xx-xx;5;Код Московской области
Заозерный;391;65;x-xx-xx;5;Код Красноярского края
Заринск;385;95;x-xx-xx;5;Код Алтайского края
Захарово;491;53;x-xx-xx;5;Код Рязанской области
Звенигово;836;45;x-xx-xx;5;Код Республики Марий Эл
Звездный;;342;xxx-xx-xx;7;
Звенигород;;498;xxx-xx-xx;7;
Звериноголовское;352;40;x-xx-xx;5;Код Курганской области
Здвинск;383;63;x-xx-xx;5;Код Новосибирской области
Зеленоградск;401;50;x-xx-xx;5;Код Калининградской области
Зеленоградский;496;53;x-xx-xx;5;Код Московской области
Зеленокумск;865;52;x-xx-xx;5;Код Ставропольского края
Зеленодольск;843;71;x-xx-xx;5;Код Республики Татарстан
Зеленчукская;878;78;x-xx-xx;5;Код Карачаево-Черкесской Республики
Зеленогорск;391;69;x-xx-xx;5;Код Красноярского края
Земетчино;841;55;x-xx-xx;5;Код Пензенской области
Зерноград;863;59;x-xx-xx;5;Код Ростовской области
Зилаир;347;52;x-xx-xx;5;Код Республики Башкортостан
Зендиково;496;69;x-xx-xx;5;Код Московской области
Зея;416;58;x-xx-xx;5;Код Амурской области
Зимовники;863;76;x-xx-xx;5;Код Ростовской области
Златоуст;351;3;xx-xx-xx;6;Код Челябинской области
Злынка;483;58;x-xx-xx;5;Код Брянской области
Змеиногорск;385;87;x-xx-xx;5;Код Алтайского края
Змиевка;486;45;x-xx-xx;5;Код Орловской области
Знаменка;475;52;x-xx-xx;5;Код Тамбовской области
Знаменка;486;62;x-xx-xx;5;Код Орловской области
Знаменск;851;40;x-xx-xx;5;Код Астраханской области
Знаменское;871;32;x-xx-xx;5;Код Чеченской Республики
Зима;395;54;x-xx-xx;5;Код Иркутской области
Знаменское;381;79;x-xx-xx;5;Код Омской области
Знаменское;486;62;x-xx-xx;5;Код Орловской области
Зональное;385;30;x-xx-xx;5;Код Алтайского края
Золотухино;471;51;x-xx-xx;5;Код Курской области
Зубова Поляна;834;58;x-xx-xx;5;Код Республики Мордовия
Зубцов;482;62;x-xx-xx;5;Код Тверской области
Зуевка;833;37;x-xx-xx;5;Код Кировской области
Зырянское;382;43;x-xx-xx;5;Код Томской области
Зырянка;411;55;x-xx-xx;5;Код Республики Саха (Якутия)
Абаза;390;47;x-xx-xx;5;Код Республики Хакасия
Абакан;;390;xxx-xx-xx;7;
Абан;391;63;x-xx-xx;5;Код Красноярского края
Абдулино;353;55;x-xx-xx;5;Код Оренбургской области
Абатское;345;56;x-xx-xx;5;Код Тюменской области
Агинское;391;42;x-xx-xx;5;Код Красноярского края
Абинск;861;50;x-xx-xx;5;Код Краснодарского края
Абрамовка;496;4;xx-xx-xx;6;Код Московской области
Авсюнино;496;4;xx-xx-xx;6;Код Московской области
Агаповка;351;40;x-xx-xx;5;Код Челябинской области
Агвали;872;73;x-xx-xx;5;Код Республики Дагестан
Агидель;347;31;x-xx-xx;5;Код Республики Башкортостан
Агинское;302;39;x-xx-xx;5;Код Забайкальского края
Адамовка;353;65;x-xx-xx;5;Код Оренбургской области
Адлер;862;2;xx-xx-xx;6;Код Краснодарского края
Ак-Довурак;394;33;x-xx-xx;5;Код Республики Тыва
Адыге- Хабль;878;70;x-xx-xx;5;Код Карачаево-Черкесской Республики
Адыгейск;877;72;x-xx-xx;5;Код Республики Адыгея
Агрыз;855;51;x-xx-xx;5;Код Республики Татарстан
Азово;381;41;x-xx-xx;5;Код Омской области
Азнакаево;855;92;x-xx-xx;5;Код Республики Татарстан
Азов;863;42;x-xx-xx;5;Код Ростовской области
Айкино;821;34;x-xx-xx;5;Код Республики Коми
Акбулак;353;35;x-xx-xx;5;Код Оренбургской области
Аксарка;349;93;x-xx-xx;5;Код Ямало-Ненецкого АО
Актаныш;855;52;x-xx-xx;5;Код Республики Татарстан
Аксай;863;50;x-xx-xx;5;Код Ростовской области
Акуша;872;60;x-xx-xx;5;Код Республики Дагестан
Акша;302;31;x-xx-xx;5;Код Забайкальского края
Алагир;867;31;x-xx-xx;5;Код Республики Северная Осетия
Зарайск;496;66;x-xx-xx;5;Код Московской области
Александров Гай;845;78;x-xx-xx;5;Код Саратовской области
Алдан;411;45;x-xx-xx;5;Код Республики Саха (Якутия)
Алатырь;835;31;x-xx-xx;5;Код Чувашской Республики
Алейск;385;53;x-xx-xx;5;Код Алтайского края
Акъяр;347;58;x-xx-xx;5;Код Республики Башкортостан
Аксубаево;843;44;x-xx-xx;5;Код Республики Татарстан
Александро-Невский;491;58;x-xx-xx;5;Код Рязанской области
Алапаевск;343;46;x-xx-xx;5;Код Свердловской области
Александров;492;44;x-xx-xx;5;Код Владимирской области
Александровка;353;59;x-xx-xx;5;Код Оренбургской области
Зверево;863;55;x-xx-xx;5;Код Ростовской области
Александровский Завод;302;40;x-xx-xx;5;Код Забайкальского края
Александровск;342;74;x-xx-xx;5;Код Пермского края
Александровское;382;55;x-xx-xx;5;Код Томской области
Александровск Сахалинский;424;340;xx-xx;4;Код Сахалинской области
Александровское;865;57;x-xx-xx;5;Код Ставропольского края
Алексеевская;844;46;x-xx-xx;5;Код Волгоградской области
Алексеевка;472;34;x-xx-xx;5;Код Белгородской области
Алексеевка;846;71;x-xx-xx;5;Код Самарской области
Алексин;487;53;x-xx-xx;5;Код Тульской области
Аликово;835;35;x-xx-xx;5;Код Чувашской Республики
Алтайский;385;37;x-xx-xx;5;Код Алтайского края
Алнаши;341;50;x-xx-xx;5;Код Республики Удмуртия
Альменево;352;42;x-xx-xx;5;Код Курганской области
Алферово;496;43;x-xx-xx;5;Код Московской области
Алушта;365;60;x-xx-xx;5;Код Республики Крым
Амга;411;42;x-xx-xx;5;Код Республики Саха (Якутия)
Альметьевск;855;3;xx-xx-xx;6;Код Республики Татарстан
Амурзет;426;65;x-xx-xx;5;Код Еврейского АО
Алексеевское;843;41;x-xx-xx;5;Код Республики Татарстан
Амурск;421;42;x-xx-xx;5;Код Хабаровского края
Анадырь;;427;xxx-xx-xx;7;
Анжеро-Судженск;384;53;x-xx-xx;5;Код Кемеровской области
Анапа;861;33;x-xx-xx;5;Код Краснодарского края
Ангарск;395;5;xx-xx-xx;6;Код Иркутской области
Анучино;423;62;x-xx-xx;5;Код Приморского края
Андреаполь;482;67;x-xx-xx;5;Код Тверской области
Анзорей;866;39;x-xx-xx;5;Код Кабардино-Балкарской Республики
Анива;424;41;x-xx-xx;5;Код Сахалинской области
Анино;813;76;x-xx-xx;5;Код Ленинградской области
Анна;473;46;x-xx-xx;5;Код Воронежской области
Антропово;494;30;x-xx-xx;5;Код Костромской области
Апастово;843;76;x-xx-xx;5;Код Республики Татарстан
Апшеронск;861;52;x-xx-xx;5;Код Краснодарского края
Апатиты;815;55;x-xx-xx;5;Код Мурманской области
Арбаж;833;30;x-xx-xx;5;Код Кировской области
Ардатов;834;31;x-xx-xx;5;Код Республики Мордовия
Аргаяш;351;31;x-xx-xx;5;Код Челябинской области
Аргун;871;47;x-xx-xx;5;Код Чеченской Республики
Апрелевка;496;34;x-xx-xx;5;Код Московской области
Ардатов;831;79;x-xx-xx;5;Код Нижегородской области
Ардон;867;32;x-xx-xx;5;Код Республики Северная Осетия
Арзамас;831;47;x-xx-xx;5;Код Нижегородской области
Арзгир;865;60;x-xx-xx;5;Код Ставропольского края
Армавир;861;37;x-xx-xx;5;Код Краснодарского края
Аркадак;845;42;x-xx-xx;5;Код Саратовской области
Армизонское;345;47;x-xx-xx;5;Код Тюменской области
Арсеньево;487;33;x-xx-xx;5;Код Тульской области
Армянск;365;65;x-xx-xx;5;Код Республики Крым
Аромашево;345;45;x-xx-xx;5;Код Тюменской области
Арсеньев;423;61;x-xx-xx;5;Код Приморского края
Артем;423;37;x-xx-xx;5;Код Приморского края
Артемовский;343;63;x-xx-xx;5;Код Свердловской области
Арти;343;91;x-xx-xx;5;Код Свердловской области
Архангельск;;818;xxx-xx-xx;7;
Арск;843;66;x-xx-xx;5;Код Республики Татарстан
Аскиз;390;45;x-xx-xx;5;Код Республики Хакасия
Архангельское;487;44;x-xx-xx;5;Код Тульской области
Архара;416;48;x-xx-xx;5;Код Амурской области
Архонская;867;39;x-xx-xx;5;Код Республики Северная Осетия
Асекеево;353;51;x-xx-xx;5;Код Оренбургской области
Асино;382;41;x-xx-xx;5;Код Томской области
Асбест;343;65;x-xx-xx;5;Код Свердловской области
Астрахань;;851;xxx-xx-xx;7;
Аткарск;845;52;x-xx-xx;5;Код Саратовской области
Атяшево;834;34;x-xx-xx;5;Код Республики Мордовия
Архангельское;347;74;x-xx-xx;5;Код Республики Башкортостан
Аскино;347;71;x-xx-xx;5;Код Республики Башкортостан
Атюрьево;834;54;x-xx-xx;5;Код Республики Мордовия
Афанасьево;833;31;x-xx-xx;5;Код Кировской области
Аскарово;347;72;x-xx-xx;5;Код Республики Башкортостан
Ахты;872;63;x-xx-xx;5;Код Республики Дагестан
Ахтубинск;851;41;x-xx-xx;5;Код Астраханской области
Ачхой Мартан;871;42;x-xx-xx;5;Код Чеченской Республики
Ачит;343;91;x-xx-xx;5;Код Свердловской области
Аша;351;59;x-xx-xx;5;Код Челябинской области
Аше;862;2;xx-xx-xx;6;Код Краснодарского края
Ашукино;496;53;x-xx-xx;5;Код Московской области
Ачинск;391;51;x-xx-xx;5;Код Красноярского края
Аян;421;47;x-xx-xx;5;Код Хабаровского края
Дагестанские Огни;872;75;x-xx-xx;5;Код Республики Дагестан
Давыдово;496;4;xx-xx-xx;6;Код Московской области
Давлеканово;347;68;x-xx-xx;5;Код Республики Башкортостан
Далматово;352;52;x-xx-xx;5;Код Курганской области
Дагомыс;862;2;xx-xx-xx;6;Код Краснодарского края
Дальнегорск;423;73;x-xx-xx;5;Код Приморского края
Дальнее Константиново;831;68;x-xx-xx;5;Код Нижегородской области
Дальнереченск;423;56;x-xx-xx;5;Код Приморского края
Данилов;485;38;x-xx-xx;5;Код Ярославской области
Даниловка;844;61;x-xx-xx;5;Код Волгоградской области
Даровской;833;36;x-xx-xx;5;Код Кировской области
Данков;474;65;x-xx-xx;5;Код Липецкой области
Дебесы;341;51;x-xx-xx;5;Код Республики Удмуртия
Демидов;481;47;x-xx-xx;5;Код Смоленской области
Дедовск;496;31;x-xx-xx;5;Код Московской области
Дедовичи;811;36;x-xx-xx;5;Код Псковской области
Деденево;496;22;x-xx-xx;5;Код Московской области
Демихово;496;4;xx-xx-xx;6;Код Московской области
Демянск;816;51;x-xx-xx;5;Код Новгородской области
Депутатский;411;66;x-xx-xx;5;Код Республики Саха (Якутия)
Дербент;872;40;x-xx-xx;5;Код Республики Дагестан
Дергачи;845;63;x-xx-xx;5;Код Саратовской области
Десногорск;481;53;x-xx-xx;5;Код Смоленской области
Дзержинск;831;3;xx-xx-xx;6;Код Нижегородской области
Джанкой;365;64;x-xx-xx;5;Код Республики Крым
Дивеево;831;34;x-xx-xx;5;Код Нижегородской области
Дивное;865;55;x-xx-xx;5;Код Ставропольского края
Дигора;867;33;x-xx-xx;5;Код Республики Северная Осетия
Димитровград;842;35;x-xx-xx;5;Код Ульяновской области
Диксон;391;52;x-xx-xx;5;Код Красноярского края
Динская;861;62;x-xx-xx;5;Код Краснодарского края
Дмитриевка;475;36;x-xx-xx;5;Код Тамбовской области
Дмитриев Льговский;471;50;x-xx-xx;5;Код Курской области
Дзержинское;391;67;x-xx-xx;5;Код Красноярского края
Дмитровск-Орловский;486;49;x-xx-xx;5;Код Орловской области
Дмитров;496;22;x-xx-xx;5;Код Московской области
Дно;811;35;x-xx-xx;5;Код Псковской области
Добринка;474;62;x-xx-xx;5;Код Липецкой области
Доброе;474;63;x-xx-xx;5;Код Липецкой области
Дивногорск;391;44;x-xx-xx;5;Код Красноярского края
Добрянка;342;65;x-xx-xx;5;Код Пермского края
Долгодеревенское;351;44;x-xx-xx;5;Код Челябинской области
Долгое;486;72;x-xx-xx;5;Код Орловской области
Домбай;878;79;x-xx-xx;5;Код Карачаево-Черкесской Республики
Долинск;424;42;x-xx-xx;5;Код Сахалинской области
Долгоруково;474;68;x-xx-xx;5;Код Липецкой области
Долгопрудный;;495;xxx-xx-xx;7;
Домбаровский;353;67;x-xx-xx;5;Код Оренбургской области
Довольное;383;54;x-xx-xx;5;Код Новосибирской области
Донецк;863;68;x-xx-xx;5;Код Ростовской области
Домодедово;496;79;x-xx-xx;5;Код Московской области
Донское;865;46;x-xx-xx;5;Код Ставропольского края
Донской;487;46;x-xx-xx;5;Код Тульской области
Дорогобуж;481;44;x-xx-xx;5;Код Смоленской области
Дрезна;496;4;xx-xx-xx;6;Код Московской области
Дубенки;834;47;x-xx-xx;5;Код Республики Мордовия
Дубовая Роща;;496;xxx-xx-xx;7;
Дубна;487;32;x-xx-xx;5;Код Тульской области
Дорохово;496;27;x-xx-xx;5;Код Московской области
Дубна;496;21;x-xx-xx;5;Код Московской области
Дубовка;844;58;x-xx-xx;5;Код Волгоградской области
Дубровка;483;32;x-xx-xx;5;Код Брянской области
Дудинка;391;91;x-xx-xx;5;Код Красноярского края
Дульдурга;302;56;x-xx-xx;5;Код Забайкальского края
Думиничи;484;47;x-xx-xx;5;Код Калужской области
Духовницкое;845;73;x-xx-xx;5;Код Саратовской области
Дылым;872;79;x-xx-xx;5;Код Республики Дагестан
Дюртюли;347;87;x-xx-xx;5;Код Республики Башкортостан
Духовщина;481;66;x-xx-xx;5;Код Смоленской области
Дятьково;483;33;x-xx-xx;5;Код Брянской области
Дубовское;863;77;x-xx-xx;5;Код Ростовской области
Евпатория;365;69;x-xx-xx;5;Код Республики Крым
Евсеево;496;43;x-xx-xx;5;Код Московской области
Екатеринославка;416;52;x-xx-xx;5;Код Амурской области
Ейск;861;32;x-xx-xx;5;Код Краснодарского края
Екатериновка;845;54;x-xx-xx;5;Код Саратовской области
Елань;844;52;x-xx-xx;5;Код Волгоградской области
Елабуга;855;57;x-xx-xx;5;Код Республики Татарстан
Елец;474;67;x-xx-xx;5;Код Липецкой области
Елизово;415;31;x-xx-xx;5;Код Камчатского края
Егорлыкская;863;70;x-xx-xx;5;Код Ростовской области
Егорьевск;496;40;x-xx-xx;5;Код Московской области
Елово;342;96;x-xx-xx;5;Код Пермского края
Елховка;846;58;x-xx-xx;5;Код Самарской области
Ельники;834;44;x-xx-xx;5;Код Республики Мордовия
Ельцовка;385;93;x-xx-xx;5;Код Алтайского края
Ельня;481;46;x-xx-xx;5;Код Смоленской области
Емва;821;39;x-xx-xx;5;Код Республики Коми
Еманжелинск;351;38;x-xx-xx;5;Код Челябинской области
Енотаевка;851;43;x-xx-xx;5;Код Астраханской области
Ермишь;491;44;x-xx-xx;5;Код Рязанской области
Ермолаево;347;57;x-xx-xx;5;Код Республики Башкортостан
Ершичи;481;55;x-xx-xx;5;Код Смоленской области
Емельяново;391;33;x-xx-xx;5;Код Красноярского края
Енисейск;391;95;x-xx-xx;5;Код Красноярского края
Ершов;845;64;x-xx-xx;5;Код Саратовской области
Ессентукская;879;61;x-xx-xx;5;Код Ставропольского края
Ессентуки;879;34;x-xx-xx;5;Код Ставропольского края
Ермекеево;347;41;x-xx-xx;5;Код Республики Башкортостан
Ермаковское;391;38;x-xx-xx;5;Код Красноярского края
Еткуль;351;45;x-xx-xx;5;Код Челябинской области
Ефимово;496;43;x-xx-xx;5;Код Московской области
Ефремов;487;41;x-xx-xx;5;Код Тульской области
Ибреси;835;38;x-xx-xx;5;Код Чувашской Республики
Ивановка;416;49;x-xx-xx;5;Код Амурской области
Ивантеевка;845;79;x-xx-xx;5;Код Саратовской области
Иваново;;493;xxx-xx-xx;7;
Ивантеевка;496;53;x-xx-xx;5;Код Московской области
Ивдель;343;86;x-xx-xx;5;Код Свердловской области
Ивня;472;43;x-xx-xx;5;Код Белгородской области
Иволгинск;301;40;x-xx-xx;5;Код Республики Бурятия
Игра;341;34;x-xx-xx;5;Код Республики Удмуртия
Игумново;;496;xxx-xx-xx;7;
Ижма;821;40;x-xx-xx;5;Код Республики Коми
Ижморский;384;59;x-xx-xx;5;Код Кемеровской области
Избербаш;872;45;x-xx-xx;5;Код Республики Дагестан
Иглино;347;95;x-xx-xx;5;Код Республики Башкортостан
Износки;484;49;x-xx-xx;5;Код Калужской области
Измалково;474;78;x-xx-xx;5;Код Липецкой области
Изобильный;865;45;x-xx-xx;5;Код Ставропольского края
Идринское;391;35;x-xx-xx;5;Код Красноярского края
Икряное;851;44;x-xx-xx;5;Код Астраханской области
Ики Бурул;847;32;x-xx-xx;5;Код Республики Калмыкия
Илек;353;37;x-xx-xx;5;Код Оренбургской области
Иловля;844;67;x-xx-xx;5;Код Волгоградской области
Икша;496;22;x-xx-xx;5;Код Московской области
Ильинский;342;76;x-xx-xx;5;Код Пермского края
Ильинка;496;4;xx-xx-xx;6;Код Московской области
Ильинско Подомское;818;43;x-xx-xx;5;Код Архангельской области
Ильинское;496;79;x-xx-xx;5;Код Московской области
Им. Полины Осипенко;421;44;x-xx-xx;5;Код Хабаровского края
Ильинское-Хованское;493;53;x-xx-xx;5;Код Ивановской области
Инжавино;475;53;x-xx-xx;5;Код Тамбовской области
Иланский;391;73;x-xx-xx;5;Код Красноярского края
Инсар;834;49;x-xx-xx;5;Код Республики Мордовия
Инза;842;41;x-xx-xx;5;Код Ульяновской области
Ипатово;865;42;x-xx-xx;5;Код Ставропольского края
Инта;821;45;x-xx-xx;5;Код Республики Коми
Иркутск;;395;xxx-xx-xx;7;
Еланцы;395;58;x-xx-xx;5;Код Иркутской области
Исаклы;846;54;x-xx-xx;5;Код Самарской области
Исетское;345;37;x-xx-xx;5;Код Тюменской области
Ирбит;343;55;x-xx-xx;5;Код Свердловской области
Искитим;383;43;x-xx-xx;5;Код Новосибирской области
Исилькуль;381;73;x-xx-xx;5;Код Омской области
Исса;841;44;x-xx-xx;5;Код Пензенской области
Истра;498;31;x-xx-xx;5;Код Московской области
Исянгулово;347;85;x-xx-xx;5;Код Республики Башкортостан
Итум-Кале;871;64;x-xx-xx;5;Код Чеченской Республики
Ирбейское;391;74;x-xx-xx;5;Код Красноярского края
Ишеевка;842;54;x-xx-xx;5;Код Ульяновской области
Ишим;345;51;x-xx-xx;5;Код Тюменской области
Жарковский;482;73;x-xx-xx;5;Код Тверской области
Железноводск;879;32;x-xx-xx;5;Код Ставропольского края
Ишимбай;347;94;x-xx-xx;5;Код Республики Башкортостан
Ербогачен;395;60;x-xx-xx;5;Код Иркутской области
Железногорск;391;9;xx-xx-xx;6;Код Красноярского края
Железногорск;471;48;x-xx-xx;5;Код Курской области
Железнодорожный;;498;xxx-xx-xx;7;
Жердевка;475;35;x-xx-xx;5;Код Тамбовской области
Железногорск-Илимский;395;66;x-xx-xx;5;Код Иркутской области
Жиганск;411;64;x-xx-xx;5;Код Республики Саха (Якутия)
Жигулевск;848;62;x-xx-xx;5;Код Самарской области
Жиздра;484;45;x-xx-xx;5;Код Калужской области
Жирятино;483;44;x-xx-xx;5;Код Брянской области
Жирновск;844;542;xx-xx;4;Код Волгоградской области
Жуков;484;32;x-xx-xx;5;Код Калужской области
Житнево;496;79;x-xx-xx;5;Код Московской области
Жуковка;483;34;x-xx-xx;5;Код Брянской области
Жуковский;;498;xxx-xx-xx;7;
Бабаево;817;43;x-xx-xx;5;Код Вологодской области
Б.дворы;496;43;x-xx-xx;5;Код Московской области
Бабынино;484;48;x-xx-xx;5;Код Калужской области
Бабаюрт;872;47;x-xx-xx;5;Код Республики Дагестан
Багаевский;863;57;x-xx-xx;5;Код Ростовской области
Баган;383;53;x-xx-xx;5;Код Новосибирской области
Игарка;391;72;x-xx-xx;5;Код Красноярского края
Багдарин;301;53;x-xx-xx;5;Код Республики Бурятия
Баево;385;85;x-xx-xx;5;Код Алтайского края
Бавлы;855;69;x-xx-xx;5;Код Республики Татарстан
Багратионовск;401;56;x-xx-xx;5;Код Калининградской области
Базарный Карабулак;845;91;x-xx-xx;5;Код Саратовской области
Базарный Сызган;842;40;x-xx-xx;5;Код Ульяновской области
Бай-Хаак;394;37;x-xx-xx;5;Код Республики Тыва
Байконур;;336;xxx-xx-xx;7;
Базарные Матаки;843;46;x-xx-xx;5;Код Республики Татарстан
Баксан;866;34;x-xx-xx;5;Код Кабардино-Балкарской Республики
Бакчар;382;49;x-xx-xx;5;Код Томской области
Баймак;347;51;x-xx-xx;5;Код Республики Башкортостан
Балабаново;484;38;x-xx-xx;5;Код Калужской области
Балаганск;395;48;x-xx-xx;5;Код Иркутской области
Бакалы;347;42;x-xx-xx;5;Код Республики Башкортостан
Байкалово;343;62;x-xx-xx;5;Код Свердловской области
Балаково;845;3;xx-xx-xx;6;Код Саратовской области
Балахна;831;44;x-xx-xx;5;Код Нижегородской области
Балашиха;;498;xxx-xx-xx;7;
Балахта;391;48;x-xx-xx;5;Код Красноярского края
Балей;302;32;x-xx-xx;5;Код Забайкальского края
Балашов;845;45;x-xx-xx;5;Код Саратовской области
Балезино;341;66;x-xx-xx;5;Код Республики Удмуртия
Балтай;845;92;x-xx-xx;5;Код Саратовской области
Балтаси;843;68;x-xx-xx;5;Код Республики Татарстан
Барабинск;383;61;x-xx-xx;5;Код Новосибирской области
Балтийск;401;45;x-xx-xx;5;Код Калининградской области
Баргузин;301;31;x-xx-xx;5;Код Республики Бурятия
Барановское;;496;xxx-xx-xx;7;
Барда;342;92;x-xx-xx;5;Код Пермского края
Барнаул;;385;xxx-xx-xx;7;
Барыбино;496;79;x-xx-xx;5;Код Московской области
Барыш;842;53;x-xx-xx;5;Код Ульяновской области
Барятино;484;54;x-xx-xx;5;Код Калужской области
Батагай;411;65;x-xx-xx;5;Код Республики Саха (Якутия)
Батагай Алыта;411;60;x-xx-xx;5;Код Республики Саха (Якутия)
Батецкий;816;61;x-xx-xx;5;Код Новгородской области
Батырево;835;32;x-xx-xx;5;Код Чувашской Республики
Батайск;863;54;x-xx-xx;5;Код Ростовской области
Башмаково;841;43;x-xx-xx;5;Код Пензенской области
Бахчисарай;365;54;x-xx-xx;5;Код Республики Крым
Беднодемьяновск;841;51;x-xx-xx;5;Код Пензенской области
Бежаницы;811;41;x-xx-xx;5;Код Псковской области
Байкит;391;78;x-xx-xx;5;Код Красноярского края
Бежецк;482;31;x-xx-xx;5;Код Тверской области
Бежта;872;74;x-xx-xx;5;Код Республики Дагестан
Беззубово;496;4;xx-xx-xx;6;Код Московской области
Безенчук;846;76;x-xx-xx;5;Код Самарской области
Бекасово-2;;496;xxx-xx-xx;7;
Жигалово;395;51;x-xx-xx;5;Код Иркутской области
Беково;841;41;x-xx-xx;5;Код Пензенской области
Белая;471;49;x-xx-xx;5;Код Курской области
Белавино;496;4;xx-xx-xx;6;Код Московской области
Белая Глина;861;54;x-xx-xx;5;Код Краснодарского края
Белая Калитва;863;83;x-xx-xx;5;Код Ростовской области
Белая Гора;411;59;x-xx-xx;5;Код Республики Саха (Якутия)
Белая Холуница;833;64;x-xx-xx;5;Код Кировской области
Белебей;347;86;x-xx-xx;5;Код Республики Башкортостан
Белгород;;472;xxx-xx-xx;7;
Белев;487;42;x-xx-xx;5;Код Тульской области
Белинский;841;53;x-xx-xx;5;Код Пензенской области
Белово;384;52;x-xx-xx;5;Код Кемеровской области
Белогорск;416;41;x-xx-xx;5;Код Амурской области
Баяндай;395;37;x-xx-xx;5;Код Иркутской области
Белозерск;817;56;x-xx-xx;5;Код Вологодской области
Белозерское;352;32;x-xx-xx;5;Код Курганской области
Белокуриха;385;77;x-xx-xx;5;Код Алтайского края
Белореченск;861;55;x-xx-xx;5;Код Краснодарского края
Белоомут;496;63;x-xx-xx;5;Код Московской области
Белый;482;50;x-xx-xx;5;Код Тверской области
Белый Яр;382;58;x-xx-xx;5;Код Томской области
Белорецк;347;92;x-xx-xx;5;Код Республики Башкортостан
Беломорск;814;37;x-xx-xx;5;Код Республики Карелия
Белые Столбы;496;79;x-xx-xx;5;Код Московской области
Белый Яр;390;41;x-xx-xx;5;Код Республики Хакасия
Беляевка;353;34;x-xx-xx;5;Код Оренбургской области
Белоярский;343;77;x-xx-xx;5;Код Свердловской области
Бердигестях;411;31;x-xx-xx;5;Код Республики Саха (Якутия)
Байкальск;395;42;x-xx-xx;5;Код Иркутской области
Бердюжье;345;54;x-xx-xx;5;Код Тюменской области
Березник;818;31;x-xx-xx;5;Код Архангельской области
Березники;342;4;xx-xx-xx;6;Код Пермского края
Березово;346;74;x-xx-xx;5;Код Тюменской области
Березовка;342;51;x-xx-xx;5;Код Пермского края
Березовский;384;45;x-xx-xx;5;Код Кемеровской области
Беринговский;427;33;x-xx-xx;5;Код Чукотского АО
Беслан;867;37;x-xx-xx;5;Код Республики Северная Осетия
Березовский;343;69;x-xx-xx;5;Код Свердловской области
Березовка;391;75;x-xx-xx;5;Код Красноярского края
Бережки;496;40;x-xx-xx;5;Код Московской области
Бессоновка;841;40;x-xx-xx;5;Код Пензенской области
Бея;390;44;x-xx-xx;5;Код Республики Хакасия
Бетлица;484;57;x-xx-xx;5;Код Калужской области
Бесово;496;69;x-xx-xx;5;Код Московской области
Бижбуляк;347;43;x-xx-xx;5;Код Республики Башкортостан
Бикин;421;55;x-xx-xx;5;Код Хабаровского края
Бийск;385;4;xx-xx-xx;6;Код Алтайского края
Билибино;427;38;x-xx-xx;5;Код Чукотского АО
Биробиджан;;426;xxx-xx-xx;7;
